hydra_noid_ssim,id,has_model_ssim
bj6731393w,e27fa3ab-71c7-4258-b929-eeeaf51256af,IRCommunity
bg732d9200,e268f01d-fd42-4b26-9a11-f19a3453fef4,IRCommunity
bhd76s023v,9200bbd4-2f17-417d-a75d-ef73b7195ff3,IRCommunity
b3t945q82w,f57b2cca-8e72-4625-91d2-9698ee4dd0bf,IRCollection
1z40kw647,30ae3d88-e1d1-49d8-9e8d-897bdcf202ee,IRCommunity
bxd07gs82x,98c5ba80-9b0b-4319-8521-197f7db135c4,IRCollection
44558r47f,1803455f-53e5-40c6-981e-14ca6cd79698,IRCommunity
ns0648614,01a4ce43-81d2-4d58-a972-4043338276eb,IRCollection
bjd472w57p,2027ce64-d103-43b0-80a1-20a51d532656,IRCollection
44558r091,55bafdf5-db7f-48a8-a91e-69b8c01cc9fb,IRCommunity
44558r29h,030b6ded-6a51-49fa-97ef-2691fa4a18d7,IRCommunity
44558r45w,4aa9f31f-9e9f-4573-9c11-ddcef4595556,IRCommunity
s7526g14b,3c990e4b-2000-4940-b5ad-1ce9bf33930a,IRCollection
hm50tv57q,f4f394ae-51c2-4321-8de5-89f3b00b72fc,IRCommunity
b4x51hj199,1adf4049-3f9f-4bd9-a8fd-d20668748c3c,IRCommunity
sj1394828,52f81b0f-3890-4fe1-bf1f-867d8e9be864,IRCollection
44558s097,285d6ec3-5338-47db-a108-dbcc5f0c09e3,IRCollection
b7s75dc57q,0ad32649-bdb3-42b6-8bfa-57ce39af9bcc,IRCommunity
b2773z60x,1c89a0be-98d2-4f84-86b3-d4eda236b24d,IRCommunity
44558r376,47cd1f10-c1fa-43b0-9096-30cfaded13cb,IRCommunity
44558r066,a4cc688d-c308-4ef5-a082-5e526b13227a,IRCommunity
44558r80g,26530ba8-519b-4b4e-aa55-83df907b3086,IRCommunity
44558r32t,2404d267-4f82-49ae-88a2-5b52f2be531d,IRCommunity
vh53wz11m,3a996e76-d2a0-4c13-b50b-c9cb89cbfc71,IRCommunity
44558r76w,82c1f471-d1bb-4cc6-98a0-9684cd4bd53a,IRCommunity
44558r490,af206a06-78d3-4c9b-a152-df982a221121,IRCommunity
q811kn20v,b1e01548-2ae7-4690-b873-d70c8048119d,IRCollection
44558r08r,fbf6bf07-32be-49da-9707-1d443bbd851c,IRCommunity
44558r12b,680db7d9-e196-408f-8ea2-243c545ccfa3,IRCommunity
44558r839,075e0181-5bec-47a9-a2ec-dcdf241fca3a,IRCommunity
44558r31j,360837d2-e7f0-4646-827c-9ef5c80cb80d,IRCommunity
44558r112,e172cce1-58f9-4759-b6c1-e6df2480601b,IRCommunity
44558r54v,fb40c182-4da5-4f4b-af54-d311ba0df7be,IRCommunity
b7h149q01f,d1d8daa4-1906-482b-8d2d-a2475529f555,IRCommunity
44558r707,9f2b0790-be52-4dd5-9f46-bd9f597fdb8a,IRCommunity
2514np17n,02de8a75-8e1d-4a6b-afc2-b0a1d103540c,IRCollection
8049g811h,4ff4c52e-79f5-40e3-8658-a4d049818963,IRCommunity
b37720c72s,b8469872-8012-47c1-a630-96f0f5f26238,IRCommunity
44558r25d,66c496dc-a1e0-4314-91fd-a6b4f0c43553,IRCommunity
44558r96c,67b077c6-dccc-47ad-8999-6691f278e0f2,IRCollection
44558r219,0d72326f-ef12-4171-94b5-e5054038f782,IRCommunity
44558r643,74009070-b92b-4c9c-9f04-4232e95cfdbc,IRCommunity
44558r71h,f881612c-0ede-411d-a55b-6eccbfed707a,IRCommunity
d791sj90d,0e68287e-0046-462c-8866-d75dbf31a35b,IRCommunity
s4655k47n,e29628c4-d610-4ab7-9946-1db05d915f66,IRCommunity
44558r333,d9253112-d9df-47ce-b839-747661335695,IRCommunity
bk643b132z,c8c6b406-4c04-47be-a0bd-b7ff7244f9ee,IRCommunity
44558r27z,554d073a-9931-470a-9f51-2bd884bd6a21,IRCommunity
44558r05x,d1640714-da95-4963-9242-68065fece5f4,IRCommunity
bg445cd20v,823cbfdc-2793-4f83-aca8-65faaf35b08e,IRCollection
44558v05j,ab07aa3b-58b1-476e-aed8-b453dabb9a18,IRCollection
44558s65k,d6796b0d-ee37-42d3-9d59-1f444a19a073,IRCollection
44558t27c,d3cbf74e-061f-49bc-89b8-a5a7cdd70d72,IRCollection
44558t25t,103c225b-b166-497a-94fd-ced2f764a6b0,IRCollection
44558v23g,83e275d1-3905-4b1b-829a-50fda76d5b5c,IRCollection
44558s364,29162941-815b-4cc0-ab78-de46b3ba44e3,IRCollection
44558s07p,752c9337-6309-47f2-87db-fa27863a318d,IRCollection
44558t06m,4ce2c0a9-324e-4705-a1f8-9405f1fb6698,IRCollection
44558s59f,f293c1f8-e28a-4046-9c73-5eb594bf63d3,IRCollection
44558v803,e6949078-b593-4902-a500-578613090abe,IRCollection
44558v54g,db024f20-040f-4249-9aa9-9dd07907d63a,IRCollection
44558t16v,86656bba-d1ea-4718-9f07-61f2ad58b789,IRCollection
44558t38w,c6ddc9fd-b27d-4bcb-98e7-02ffc92d43e9,IRCollection
44558v67j,9ffa74dd-04a0-45f7-a804-1fc52e69040d,IRCollection
44558t69w,b73484ff-194c-4aa5-9011-95410f02ee34,IRCollection
44558v358,941a3486-68ea-484b-b6f1-f0b1d74aa25f,IRCollection
0c483m90p,d28b71d9-18f0-473c-a3c9-c140e8b99a5f,IRCollection
44558s674,09aac826-cf4a-4471-8a53-460e7eb0b9bb,IRCollection
44558t840,e1762fee-4ffc-4d21-a7b6-6bb0c6de635b,IRCollection
44558v073,31a68473-1448-4927-b10e-6bc05c47b933,IRCollection
44558v49m,6bcf4d84-bd68-495a-a785-ca18383e5c72,IRCollection
44558v45h,37579c2c-8d59-427a-80ba-602ca96c9292,IRCollection
44558s83h,43214727-5998-4bba-8d24-70edea4daeab,IRCollection
b3r074t960,a2ca59c6-7390-4381-96a8-f1c4c8a1eb81,IRCollection
zs25xc54p,deccd3ff-2cd1-45e9-af92-511a6c6fb04d,IRCollection
bn583xv16j,90ad28a2-f2c2-4aca-8a21-14713eb2f391,IRCollection
44558v11p,e4d2e37f-660b-4232-833a-bfce9c4ae459,IRCollection
vd66w2931,b2d8aaf2-3b95-410f-bf20-418a99e1779d,IRCollection
44558s03k,371015e4-7ebb-4566-92e0-9e4bfe4e4400,IRCollection
44558s232,748bd427-827f-4cde-bae2-b2332f98dd08,IRCollection
44558t93z,21724a47-2dbe-4b50-92c7-9a620ad4339e,IRCollection
6d570058x,9c2b2354-75d5-4364-bf18-7e102b78e4ef,IRCollection
44558t637,7b7ff7f4-f88e-490f-95c9-86aaa31974ac,IRCollection
44558v20n,f55dff66-dfe0-46eb-a3fa-1ee03d5eb5d7,IRCollection
44558s46c,22a2b15b-0874-4618-b57f-bd5b84e2322c,IRCollection
44558t042,4b28b3cf-81f5-4456-8404-d2d0a38f51a5,IRCollection
44558s19g,5bb43715-82df-4d17-988d-2cebd8ba23f2,IRCollection
44558t82f,732eb2ef-8fc8-46c4-89fb-a3f5a75c288f,IRCollection
44558v383,add9922c-a205-4d3c-80d1-d109a4ed947d,IRCollection
44558t11g,b7db67aa-1b85-4f6e-816a-3c7ef6516d6c,IRCollection
44558v030,3ff59a2b-1298-4616-903e-2a1972cffbf9,IRCollection
44558s26w,e4dc04b8-1725-4b4f-8873-289dde86c75a,IRCollection
44558s53s,247b8001-8e91-4291-9e1f-1fe856394760,IRCollection
44558r910,4b99f7ef-b86a-480b-9552-b354047d67c1,IRCollection
44558s39z,a532eaba-e04d-43e9-bbe6-61bdc93d7bea,IRCollection
0c483n010,aead7d5f-5eca-4e21-b302-d8eea2b4556e,IRCollection
44558s827,d1d1aa52-ade1-44c6-a68a-937028cf0334,IRCollection
2f75rb86t,3900e9cd-5995-495e-93f7-32886055643e,IRCollection
44558v08c,19f40b84-f66b-436b-9960-398d8cb96cec,IRCollection
44558v625,a7f56551-a5e2-4f9f-ae11-4be8df69dc7d,IRCollection
44558s97v,c4d7326e-deae-4dbb-9ec5-bb0c1e63ab73,IRCollection
44558s57w,0ce1ee7e-0143-4600-a93f-07fe3bbf6064,IRCollection
44558v43z,9da92224-5806-42dd-a1ec-1d477bd9a31f,IRCollection
44558v269,05347fbb-82c6-4309-bc7c-750d83d6c3c0,IRCollection
44558t96s,ea6cb1fc-d28f-4f79-a730-3fc85032c453,IRCollection
44558s30g,95fb2e57-f6d1-4811-80e1-ca90840d0fc2,IRCollection
bhh63sw02x,c88dc6d5-9e9d-4645-bb48-117a5621a57d,IRCollection
44558t352,ba731978-fc37-473d-aaa2-68e6aeae90a5,IRCollection
44558t43r,76e690c1-4e42-403f-aacf-6633556ea505,IRCollection
bn870zr01v,ad71fb76-30b2-46d5-935a-3e51d4d3b4a4,IRCollection
44558r928,c8153e75-731f-4df7-a625-850bdf44c8f3,IRCollection
44558t58c,e935e8c5-6971-424b-bc90-c8d78b6d9715,IRCollection
44558s118,35bc36a2-817b-4fd8-885f-26fc4efbb05c,IRCollection
bdb78tc05q,18067a9c-1b4d-48b3-90d7-367148870798,IRCollection
44558s054,60f13ba3-81b6-4468-bf74-fc4db6864adb,IRCollection
mg74qp76z,2e70ed51-5c4c-4fa1-b62b-b5a6a0bc2eca,IRCollection
44558t20f,bf124115-82f1-46ce-977f-e53f3de3aef2,IRCollection
44558s339,33362f63-aae4-4a77-a647-3c2ba99da949,IRCollection
44558t883,65d02937-c2e4-452a-b303-55fb23281e16,IRCollection
44558t78v,7f676cc3-4b2c-4177-bdf7-dc44bc44fc46,IRCollection
44558r97n,94dda22a-1ec9-402a-8f8b-99a54ec928af,IRCollection
44558v70v,1ba7dc10-328d-4773-80e3-ffe868dc6855,IRCollection
44558t71x,7fad4a41-80a7-4164-ad5f-8e3420a941cb,IRCollection
44558s763,a01b1d5c-4ba9-4227-8b55-1e8aecc7116b,IRCollection
44558s43j,d36d60b2-5dff-4c36-8012-d457dc000326,IRCollection
44558s21h,34049cff-63bf-490b-b3cc-35ed5a5829f3,IRCollection
bn583xv185,8c1876bf-39d9-4c70-b173-fdec299b17a0,IRCollection
44558s90x,13ef4195-d018-4d77-9a54-aac602b1f90d,IRCollection
44558s631,aca4cf95-41b4-4ac0-80c9-07040af69286,IRCollection
44558s92g,efd28f53-3d42-4748-981c-af25cb86a9eb,IRCollection
jd473033t,df4b5ae1-f1f9-4c12-bbde-94c34ee21da7,IRCollection
44558v39c,6f9cfb8d-a02a-4fad-89e9-adfbe5290341,IRCollection
44558s99d,f66d682a-4853-4639-930d-0d40a05925b1,IRCollection
brx913q02c,9505aebf-f1ec-4f21-8ca5-47517e77ae6c,IRCollection
f1881p46c,46f55def-8238-45ad-b6c3-cf4978bb6223,IRCollection
bj3860707r,7ba43415-1138-4cb2-8ef9-f4a9ca2fcdc6,IRCollection
js956j55p,df43c34f-af49-417e-a73c-28471df92068,IRCollection
44558s68d,09baae86-ac16-44f8-9cc6-a157c27e9589,IRCollection
g158bm03f,7381b21f-1297-4b73-9675-20a82b03692d,IRCollection
44558v63f,d3a71855-d041-49b3-82f5-4aa68157ec90,IRCollection
bvq27zn406,d2cb858b-8253-44bc-9017-0386e1315ff8,IRCollection
44558r35n,5115f399-baa5-4f02-b4a6-a31503a346d9,IRCollection
b6395w731c,6bc5047f-d5f9-4190-a891-e2de99915341,IRCollection
dummycomm,b50523c6-5037-40a0-b511-10aa6b17fe12,IRCommunity
bdr26xx36j,486757fa-1135-486d-bbc2-1fab1ad784a0,IRCollection
44558t74r,3667602c-f4d9-456a-ba38-26654e4a186d,IRCollection
44558t484,5ff9bf86-b2e7-4dcf-841c-ec21857f05d0,IRCollection
44558t68m,b8c28215-fcb7-449a-b849-8525e43278da,IRCollection
44558r93j,e83733b8-f2b9-44df-9c82-c5a7287bc13f,IRCollection
td96k5592,dc6067f7-3635-4149-b4ff-4b4be07beff8,IRCollection
44558s06d,f4da554a-2a41-41f8-b2f1-54b1870262de,IRCollection
vm40xv53c,14a95efe-6bfe-47d6-bea0-107fc87ac52d,IRCollection
wp988n602,28df2398-5163-4520-919d-cf6e6a469852,IRCollection
44558s17x,2e26e0cc-3316-49ef-85fb-1e4741f9f611,IRCollection
bt722h904v,c259d7e4-3617-488e-baae-5f6fa0361871,IRCollection
b3484zh11r,782fe3b6-5008-4364-adcf-7f409d33fe7b,IRCollection
44558s08z,11ffef85-f2f0-4707-8d4b-0baacfd61efc,IRCollection
fq977x53m,05f3c8a0-75d8-44bb-94c9-bb2015bd69b0,IRCollection
44558s71q,be667e88-8daa-4ad0-8b2b-18e86f901d5e,IRCollection
44558v37t,55a90bde-a897-415d-bab2-d17ed9667d11,IRCollection
bbv73c057x,1b6f3249-013e-49f3-9de7-94beef91887f,IRCollection
44558t12r,6af455a8-9ac1-4b15-9fbb-7a87555006a3,IRCollection
44558s29q,1a850dbd-4acd-4296-b8fe-8eb2e3403779,IRCollection
44558s44t,2911a0cb-b8e0-4173-94cb-1a2e1bedd6dc,IRCollection
44558v52x,2c1f3d8f-376a-45f8-a422-2afc3363987d,IRCollection
44558t60d,46c38546-b0c6-4c6b-88a9-9e1f814bb9be,IRCollection
44558v668,025e262c-9eb4-4a2a-86f1-c5a2ffb26bdd,IRCollection
44558r87d,d253e7e6-06e8-4b33-a962-64fd7f43019e,IRCollection
44558t24j,8be33d5d-d8ba-40d7-8afe-cd92b78d6597,IRCollection
8910jx66f,f4a8b48d-2e6b-4fb2-addf-ecb41fe61d1b,IRCollection
b12579s41b,fbc7bbf0-ab19-43ca-bbc2-83e7ac797405,IRCollection
44558v10d,bacc0a11-ce1d-481e-9180-2f92bf259c21,IRCollection
44558s00r,979118e4-573d-4671-9d8b-c34b5f217f25,IRCollection
b2v23vt445,4c658204-3771-4850-9309-4c2e98f11335,IRCollection
